History_ID,History_Q,History_A
1,Who is the first president of the United States (last name only)?,Washington
2,Which year was the Battle of Hastings?,1066
3,What is the collective name given to countries formerly ruled by the British Empire?,Commonwealth
4,Which US preisdent was assassinated on Elm Street (last name only)?,Kennedy
5,What was the name of the racial segragation in South Africa?,Apartheid
6,What was the colonial name of the Indian city of Chennai?,Madras
7,In which country did the US drop the atom bombs in 1945?,Japan
8,Which car company produced the Model T?,Ford
9,Who was the first man to climb Mt Everst (last name only)?,Hillary
10,Who invented the World Wide Web (last name only)?,Berners-Lee
