Geography_ID,Geography_Q,Geography_A
1,What natural disaster is measured using the richter scale?,Earthquake
2,What is the capital of Argentina?,Buenos Aires
3,What is the name of the highest mountain in Africa?,Kilimanjaro
4,Which river passes through the town of Shrewsbury?,Severn
5,Which country has the only flag that isn't a square or a rectangle?,Nepal
6,In which country can you find the cities of Casablanca and Tangier?,Morocco
7,What is the most populous city of Canada?,Toronto
8,Which country is made up of two islands called North Island & South Island?,New Zealand
9,Which country completely surrounds the country of San Marino?,Italy
10,Which famous landmark can be found in the city of Agra in India?,Taj Mahal
